date,action,ticker,name,rank,score,source_etfs,target_weight,industry,industry_rank,industry_score,stock_score
2026-03-11,IN,MU,MU,1.0,0.7584,SMH,,,,,
2026-03-11,IN,ZIM,ZIM,2.0,0.6455,SEA,,,,,
2026-03-11,IN,OXY,OXY,3.0,0.56,XOP,,,,,
2026-03-11,IN,APA,APA,4.0,0.5119,XOP,,,,,
2026-03-11,IN,AMAT,AMAT,5.0,0.5096,SMH,,,,,
2026-03-11,IN,HWM,HWM,6.0,0.4672,ITA,,,,,
2026-03-11,KEEP,ZIM,ZIM,1.0,0.7666,SEA,0.088457,,,,
2026-03-11,KEEP,MU,MU,2.0,0.728,SMH,0.125382,,,,
2026-03-11,KEEP,OXY,OXY,3.0,0.7008,XOP,0.186537,,,,
2026-03-11,KEEP,APA,APA,4.0,0.6194,XOP,0.182846,,,,
2026-03-11,KEEP,HWM,HWM,6.0,0.556,ITA,0.269023,,,,
2026-03-11,KEEP,AMAT,AMAT,11.0,0.508,SMH,0.147756,,,,
2026-03-12,OUT,MU,MU,,,SMH,,,,,
2026-03-12,OUT,HWM,HWM,,,ITA,,,,,
2026-03-12,OUT,AMAT,AMAT,,,SMH,,,,,
2026-03-12,IN,EOG,EOG,4.0,0.7173,XOP,0.229332,,,,
2026-03-12,IN,COP,COP,5.0,0.6992,XOP,0.225178,,,,
2026-03-12,IN,DVN,DVN,6.0,0.6269,XOP,0.212373,,,,
2026-03-12,KEEP,OXY,OXY,1.0,0.9594,XOP,0.131904,,,,
2026-03-12,KEEP,ZIM,ZIM,2.0,0.9038,SEA,0.064531,,,,
2026-03-12,KEEP,APA,APA,3.0,0.7764,XOP,0.136682,,,,
2026-03-12,KEEP,OXY,Occidental Petroleum,1.0,0.9594,XOP,0.131904,,,,
2026-03-12,KEEP,ZIM,ZIM Integrated Shipping,2.0,0.9038,SEA,0.064531,,,,
2026-03-12,KEEP,APA,APA Corporation,3.0,0.7764,XOP,0.136682,,,,
2026-03-12,KEEP,EOG,EOG Resources,4.0,0.7173,XOP,0.229332,,,,
2026-03-12,KEEP,COP,ConocoPhillips,5.0,0.6992,XOP,0.225178,,,,
2026-03-12,KEEP,DVN,Devon Energy,6.0,0.6269,XOP,0.212373,,,,
2026-03-12,OUT,DVN,Devon Energy,15.0,0.5579110983250133,XOP,0.0,,,,
2026-03-12,IN,VAL,Valaris Ltd,3.0,0.8027,OIH,0.125662,,,,
2026-03-12,KEEP,OXY,Occidental Petroleum,1.0,0.8557,XOP,0.146425,,,,
2026-03-12,KEEP,ZIM,ZIM Integrated Shipping,2.0,0.8043,SEA,0.071636,,,,
2026-03-12,KEEP,APA,APA Corporation,4.0,0.6955,XOP,0.151729,,,,
2026-03-12,KEEP,EOG,EOG Resources,9.0,0.6472,"XLE,XOP",0.25458,,,,
2026-03-12,KEEP,COP,ConocoPhillips,10.0,0.6198,"XLE,XOP",0.249968,,,,
2026-03-12,KEEP,OXY,Occidental Petroleum,1.0,0.8557,XOP,0.146425,,,,
2026-03-12,KEEP,ZIM,ZIM Integrated Shipping,2.0,0.8043,SEA,0.071636,,,,
2026-03-12,KEEP,VAL,Valaris Ltd,3.0,0.8027,OIH,0.125662,,,,
2026-03-12,KEEP,APA,APA Corporation,4.0,0.6955,XOP,0.151729,,,,
2026-03-12,KEEP,EOG,EOG Resources,9.0,0.6472,"XLE,XOP",0.25458,,,,
2026-03-12,KEEP,COP,ConocoPhillips,10.0,0.6198,"XLE,XOP",0.249968,,,,
2026-03-12,OUT,OXY,Occidental Petroleum,,,,0.146425,,,,0.8557
